temps = 104.50	sensor = 205	 temperature = 79.65	 relai = 0
temps = 105.00	sensor = 205	 temperature = 79.65	 relai = 0
temps = 105.50	sensor = 206	 temperature = 81.58	 relai = 0
temps = 106.00	sensor = 206	 temperature = 81.58	 relai = 0
temps = 106.50	sensor = 206	 temperature = 81.58	 relai = 0
temps = 107.00	sensor = 206	 temperature = 81.58	 relai = 0
temps = 107.50	sensor = 207	 temperature = 83.51	 relai = 0
temps = 108.00	sensor = 207	 temperature = 83.51	 relai = 0
temps = 108.50	sensor = 207	 temperature = 83.51	 relai = 0
temps = 109.00	sensor = 208	 temperature = 85.44	 relai = 0
temps = 109.50	sensor = 208	 temperature = 85.44	 relai = 0
temps = 110.00	sensor = 208	 temperature = 85.44	 relai = 0
temps = 110.50	sensor = 208	 temperature = 85.44	 relai = 0
temps = 111.00	sensor = 209	 temperature = 87.37	 relai = 0
temps = 111.50	sensor = 209	 temperature = 87.37	 relai = 0
temps = 112.00	sensor = 209	 temperature = 87.37	 relai = 0
temps = 112.50	sensor = 210	 temperature = 89.30	 relai = 0
temps = 113.00	sensor = 210	 temperature = 89.30	 relai = 0
temps = 113.50	sensor = 210	 temperature = 89.30	 relai = 0
temps = 114.00	sensor = 210	 temperature = 89.30	 relai = 0
temps = 114.50	sensor = 211	 temperature = 91.23	 relai = 0
temps = 115.00	sensor = 211	 temperature = 91.23	 relai = 0
temps = 115.50	sensor = 212	 temperature = 93.16	 relai = 0
temps = 116.00	sensor = 212	 temperature = 93.16	 relai = 0
temps = 116.50	sensor = 212	 temperature = 93.16	 relai = 0
temps = 117.00	sensor = 212	 temperature = 93.16	 relai = 0
temps = 117.50	sensor = 213	 temperature = 95.09	 relai = 0
temps = 118.00	sensor = 214	 temperature = 97.02	 relai = 0
temps = 118.50	sensor = 214	 temperature = 97.02	 relai = 0
temps = 119.00	sensor = 214	 temperature = 97.02	 relai = 0
temps = 119.50	sensor = 214	 temperature = 97.02	 relai = 0
temps = 120.00	sensor = 214	 temperature = 97.02	 relai = 0
temps = 120.50	sensor = 215	 temperature = 98.95	 relai = 0
temps = 121.00	sensor = 215	 temperature = 98.95	 relai = 0
temps = 121.50	sensor = 216	 temperature = 100.88	 relai = 0
temps = 122.00	sensor = 216	 temperature = 100.88	 relai = 0
temps = 122.50	sensor = 216	 temperature = 100.88	 relai = 0
temps = 123.00	sensor = 217	 temperature = 102.81	 relai = 0
temps = 123.50	sensor = 217	 temperature = 102.81	 relai = 0
temps = 124.00	sensor = 217	 temperature = 102.81	 relai = 0
temps = 124.50	sensor = 217	 temperature = 102.81	 relai = 0
temps = 125.00	sensor = 218	 temperature = 104.74	 relai = 0
temps = 125.50	sensor = 218	 temperature = 104.74	 relai = 0
temps = 126.00	sensor = 219	 temperature = 106.67	 relai = 0
temps = 126.50	sensor = 219	 temperature = 106.67	 relai = 0
temps = 127.00	sensor = 219	 temperature = 106.67	 relai = 0
temps = 127.50	sensor = 220	 temperature = 108.60	 relai = 0
temps = 128.00	sensor = 220	 temperature = 108.60	 relai = 0
temps = 128.50	sensor = 220	 temperature = 108.60	 relai = 0
temps = 129.00	sensor = 221	 temperature = 110.53	 relai = 0
temps = 129.50	sensor = 221	 temperature = 110.53	 relai = 0
temps = 130.00	sensor = 222	 temperature = 112.46	 relai = 0
temps = 130.50	sensor = 222	 temperature = 112.46	 relai = 0
temps = 131.00	sensor = 222	 temperature = 112.46	 relai = 0
temps = 131.50	sensor = 222	 temperature = 112.46	 relai = 0
temps = 132.00	sensor = 223	 temperature = 114.39	 relai = 0
temps = 132.50	sensor = 224	 temperature = 116.32	 relai = 0
temps = 133.00	sensor = 223	 temperature = 114.39	 relai = 0
temps = 133.50	sensor = 223	 temperature = 114.39	 relai = 0
temps = 134.00	sensor = 224	 temperature = 116.32	 relai = 0
temps = 134.50	sensor = 224	 temperature = 116.32	 relai = 0
temps = 135.00	sensor = 224	 temperature = 116.32	 relai = 0
temps = 135.50	sensor = 225	 temperature = 118.25	 relai = 0
temps = 136.00	sensor = 225	 temperature = 118.25	 relai = 0
temps = 136.50	sensor = 225	 temperature = 118.25	 relai = 0
temps = 137.00	sensor = 226	 temperature = 120.18	 relai = 0
temps = 137.50	sensor = 227	 temperature = 122.11	 relai = 0
temps = 138.00	sensor = 226	 temperature = 120.18	 relai = 0
temps = 138.50	sensor = 226	 temperature = 120.18	 relai = 0
temps = 139.00	sensor = 227	 temperature = 122.11	 relai = 0
temps = 139.50	sensor = 227	 temperature = 122.11	 relai = 0
temps = 140.00	sensor = 227	 temperature = 122.11	 relai = 0
temps = 140.50	sensor = 228	 temperature = 124.04	 relai = 0
temps = 141.00	sensor = 228	 temperature = 124.04	 relai = 0
temps = 141.50	sensor = 228	 temperature = 124.04	 relai = 0
temps = 142.00	sensor = 229	 temperature = 125.97	 relai = 0
temps = 142.50	sensor = 229	 temperature = 125.97	 relai = 0
temps = 143.00	sensor = 229	 temperature = 125.97	 relai = 0
temps = 143.50	sensor = 229	 temperature = 125.97	 relai = 0
temps = 144.00	sensor = 230	 temperature = 127.90	 relai = 0
temps = 144.50	sensor = 230	 temperature = 127.90	 relai = 0
temps = 145.00	sensor = 230	 temperature = 127.90	 relai = 0
temps = 145.50	sensor = 231	 temperature = 129.83	 relai = 0
temps = 146.00	sensor = 231	 temperature = 129.83	 relai = 0
temps = 146.50	sensor = 231	 temperature = 129.83	 relai = 0
temps = 147.00	sensor = 231	 temperature = 129.83	 relai = 0
temps = 147.50	sensor = 232	 temperature = 131.76	 relai = 0
temps = 148.00	sensor = 232	 temperature = 131.76	 relai = 0
temps = 148.50	sensor = 232	 temperature = 131.76	 relai = 0
temps = 149.00	sensor = 233	 temperature = 133.69	 relai = 0
temps = 149.50	sensor = 233	 temperature = 133.69	 relai = 0
temps = 150.00	sensor = 233	 temperature = 133.69	 relai = 0
temps = 150.50	sensor = 233	 temperature = 133.69	 relai = 0
temps = 151.00	sensor = 234	 temperature = 135.62	 relai = 0
temps = 151.50	sensor = 234	 temperature = 135.62	 relai = 0
temps = 152.00	sensor = 234	 temperature = 135.62	 relai = 0
temps = 152.50	sensor = 235	 temperature = 137.55	 relai = 0
temps = 153.00	sensor = 235	 temperature = 137.55	 relai = 0
temps = 153.50	sensor = 235	 temperature = 137.55	 relai = 0
temps = 154.00	sensor = 235	 temperature = 137.55	 relai = 0
temps = 154.50	sensor = 236	 temperature = 139.48	 relai = 0
temps = 155.00	sensor = 236	 temperature = 139.48	 relai = 0
temps = 155.50	sensor = 236	 temperature = 139.48	 relai = 0
temps = 156.00	sensor = 237	 temperature = 141.41	 relai = 0
temps = 156.50	sensor = 237	 temperature = 141.41	 relai = 0
temps = 157.00	sensor = 237	 temperature = 141.41	 relai = 0
temps = 157.50	sensor = 238	 temperature = 143.34	 relai = 0
temps = 158.00	sensor = 238	 temperature = 143.34	 relai = 0
temps = 158.50	sensor = 238	 temperature = 143.34	 relai = 0
temps = 159.00	sensor = 238	 temperature = 143.34	 relai = 0
temps = 159.50	sensor = 238	 temperature = 143.34	 relai = 0
temps = 160.00	sensor = 239	 temperature = 145.27	 relai = 0
temps = 160.50	sensor = 239	 temperature = 145.27	 relai = 0
temps = 161.00	sensor = 239	 temperature = 145.27	 relai = 0
temps = 161.50	sensor = 239	 temperature = 145.27	 relai = 0
temps = 162.00	sensor = 240	 temperature = 147.20	 relai = 0
temps = 162.50	sensor = 240	 temperature = 147.20	 relai = 0
temps = 163.00	sensor = 240	 temperature = 147.20	 relai = 0
temps = 163.50	sensor = 240	 temperature = 147.20	 relai = 0
temps = 164.00	sensor = 241	 temperature = 149.13	 relai = 0
temps = 164.50	sensor = 241	 temperature = 149.13	 relai = 0
temps = 165.00	sensor = 241	 temperature = 149.13	 relai = 0
temps = 165.50	sensor = 241	 temperature = 149.13	 relai = 0
temps = 166.00	sensor = 242	 temperature = 151.06	 relai = 0
temps = 166.50	sensor = 242	 temperature = 151.06	 relai = 0
temps = 167.00	sensor = 242	 temperature = 151.06	 relai = 0
temps = 167.50	sensor = 242	 temperature = 151.06	 relai = 0
temps = 168.00	sensor = 243	 temperature = 152.99	 relai = 0
temps = 168.50	sensor = 243	 temperature = 152.99	 relai = 0
temps = 169.00	sensor = 243	 temperature = 152.99	 relai = 0
temps = 169.50	sensor = 243	 temperature = 152.99	 relai = 0
temps = 170.00	sensor = 244	 temperature = 154.92	 relai = 0
temps = 170.50	sensor = 244	 temperature = 154.92	 relai = 0
temps = 171.00	sensor = 244	 temperature = 154.92	 relai = 0
temps = 171.50	sensor = 244	 temperature = 154.92	 relai = 0
temps = 172.00	sensor = 245	 temperature = 156.85	 relai = 0
temps = 172.50	sensor = 245	 temperature = 156.85	 relai = 0
temps = 173.00	sensor = 245	 temperature = 156.85	 relai = 0
temps = 173.50	sensor = 245	 temperature = 156.85	 relai = 0
temps = 174.00	sensor = 245	 temperature = 156.85	 relai = 0
temps = 174.50	sensor = 246	 temperature = 158.78	 relai = 0
temps = 175.00	sensor = 246	 temperature = 158.78	 relai = 0
temps = 175.50	sensor = 246	 temperature = 158.78	 relai = 0
temps = 176.00	sensor = 246	 temperature = 158.78	 relai = 0
temps = 176.50	sensor = 247	 temperature = 160.71	 relai = 0
temps = 177.00	sensor = 247	 temperature = 160.71	 relai = 0
temps = 177.50	sensor = 247	 temperature = 160.71	 relai = 0
temps = 178.00	sensor = 247	 temperature = 160.71	 relai = 0
temps = 178.50	sensor = 248	 temperature = 162.64	 relai = 0
temps = 179.00	sensor = 248	 temperature = 162.64	 relai = 0
temps = 179.50	sensor = 248	 temperature = 162.64	 relai = 0
temps = 180.00	sensor = 248	 temperature = 162.64	 relai = 0
temps = 180.50	sensor = 248	 temperature = 162.64	 relai = 0
temps = 181.00	sensor = 248	 temperature = 162.64	 relai = 0
temps = 181.50	sensor = 249	 temperature = 164.57	 relai = 0
temps = 182.00	sensor = 249	 temperature = 164.57	 relai = 0
temps = 182.50	sensor = 250	 temperature = 166.50	 relai = 0
temps = 183.00	sensor = 250	 temperature = 166.50	 relai = 0
temps = 183.50	sensor = 250	 temperature = 166.50	 relai = 0
temps = 184.00	sensor = 250	 temperature = 166.50	 relai = 0
temps = 184.50	sensor = 250	 temperature = 166.50	 relai = 0
temps = 185.00	sensor = 250	 temperature = 166.50	 relai = 0
temps = 185.50	sensor = 251	 temperature = 168.43	 relai = 0
temps = 186.00	sensor = 251	 temperature = 168.43	 relai = 0
temps = 186.50	sensor = 252	 temperature = 170.36	 relai = 0
temps = 187.00	sensor = 251	 temperature = 168.43	 relai = 0
temps = 187.50	sensor = 252	 temperature = 170.36	 relai = 0
temps = 188.00	sensor = 252	 temperature = 170.36	 relai = 0
temps = 188.50	sensor = 252	 temperature = 170.36	 relai = 0
temps = 189.00	sensor = 252	 temperature = 170.36	 relai = 0
temps = 189.50	sensor = 252	 temperature = 170.36	 relai = 0
temps = 190.00	sensor = 253	 temperature = 172.29	 relai = 0
temps = 190.50	sensor = 253	 temperature = 172.29	 relai = 0
temps = 191.00	sensor = 253	 temperature = 172.29	 relai = 0
temps = 191.50	sensor = 253	 temperature = 172.29	 relai = 0
temps = 192.00	sensor = 254	 temperature = 174.22	 relai = 0
temps = 192.50	sensor = 254	 temperature = 174.22	 relai = 0
temps = 193.00	sensor = 254	 temperature = 174.22	 relai = 0
temps = 193.50	sensor = 254	 temperature = 174.22	 relai = 0
temps = 194.00	sensor = 254	 temperature = 174.22	 relai = 0
temps = 194.50	sensor = 255	 temperature = 176.15	 relai = 0
temps = 195.00	sensor = 255	 temperature = 176.15	 relai = 0
temps = 195.50	sensor = 255	 temperature = 176.15	 relai = 0
temps = 196.00	sensor = 255	 temperature = 176.15	 relai = 0
temps = 196.50	sensor = 255	 temperature = 176.15	 relai = 0
temps = 197.00	sensor = 256	 temperature = 178.08	 relai = 0
temps = 197.50	sensor = 256	 temperature = 178.08	 relai = 0
temps = 198.00	sensor = 256	 temperature = 178.08	 relai = 0
temps = 198.50	sensor = 257	 temperature = 180.01	 relai = 0
temps = 199.00	sensor = 256	 temperature = 178.08	 relai = 0
temps = 199.50	sensor = 256	 temperature = 178.08	 relai = 0
temps = 200.00	sensor = 257	 temperature = 180.01	 relai = 0
temps = 200.50	sensor = 257	 temperature = 180.01	 relai = 0
temps = 201.00	sensor = 257	 temperature = 180.01	 relai = 0
temps = 201.50	sensor = 257	 temperature = 180.01	 relai = 0
temps = 202.00	sensor = 257	 temperature = 180.01	 relai = 0
temps = 202.50	sensor = 258	 temperature = 181.94	 relai = 0
temps = 203.00	sensor = 258	 temperature = 181.94	 relai = 0
temps = 203.50	sensor = 258	 temperature = 181.94	 relai = 0
temps = 204.00	sensor = 258	 temperature = 181.94	 relai = 0
temps = 204.50	sensor = 259	 temperature = 183.87	 relai = 0
temps = 205.00	sensor = 259	 temperature = 183.87	 relai = 0
temps = 205.50	sensor = 259	 temperature = 183.87	 relai = 0
temps = 206.00	sensor = 259	 temperature = 183.87	 relai = 0
