temps = 144.00	sensor = 214	 temperature = 0.00	 relai = 1
temps = 144.50	sensor = 214	 temperature = 0.00	 relai = 1
temps = 145.00	sensor = 215	 temperature = 0.00	 relai = 1
temps = 145.50	sensor = 215	 temperature = 0.00	 relai = 1
temps = 146.00	sensor = 215	 temperature = 0.00	 relai = 1
temps = 146.50	sensor = 216	 temperature = 0.00	 relai = 1
temps = 147.00	sensor = 216	 temperature = 0.00	 relai = 1
temps = 147.50	sensor = 217	 temperature = 0.00	 relai = 1
temps = 148.00	sensor = 217	 temperature = 0.00	 relai = 1
temps = 148.50	sensor = 217	 temperature = 0.00	 relai = 1
temps = 149.00	sensor = 217	 temperature = 0.00	 relai = 1
temps = 149.50	sensor = 218	 temperature = 0.00	 relai = 1
temps = 150.00	sensor = 218	 temperature = 0.00	 relai = 1
temps = 150.50	sensor = 218	 temperature = 0.00	 relai = 1
temps = 151.00	sensor = 219	 temperature = 0.00	 relai = 1
temps = 151.50	sensor = 219	 temperature = 0.00	 relai = 1
temps = 152.00	sensor = 220	 temperature = 0.00	 relai = 1
temps = 152.50	sensor = 220	 temperature = 0.00	 relai = 1
temps = 153.00	sensor = 220	 temperature = 0.00	 relai = 1
temps = 153.50	sensor = 220	 temperature = 0.00	 relai = 1
temps = 154.00	sensor = 221	 temperature = 0.00	 relai = 1
temps = 154.50	sensor = 221	 temperature = 0.00	 relai = 1
temps = 155.00	sensor = 222	 temperature = 0.00	 relai = 1
temps = 155.50	sensor = 222	 temperature = 0.00	 relai = 1
temps = 156.00	sensor = 222	 temperature = 0.00	 relai = 1
temps = 156.50	sensor = 223	 temperature = 0.00	 relai = 1
temps = 157.00	sensor = 223	 temperature = 0.00	 relai = 1
temps = 157.50	sensor = 223	 temperature = 0.00	 relai = 1
temps = 158.00	sensor = 224	 temperature = 0.00	 relai = 1
temps = 158.50	sensor = 224	 temperature = 0.00	 relai = 1
temps = 159.00	sensor = 224	 temperature = 0.00	 relai = 1
temps = 159.50	sensor = 224	 temperature = 0.00	 relai = 1
temps = 160.00	sensor = 225	 temperature = 0.00	 relai = 1
temps = 160.50	sensor = 225	 temperature = 0.00	 relai = 1
temps = 161.00	sensor = 225	 temperature = 0.00	 relai = 1
temps = 161.50	sensor = 226	 temperature = 0.00	 relai = 1
temps = 162.00	sensor = 226	 temperature = 0.00	 relai = 1
temps = 162.50	sensor = 226	 temperature = 0.00	 relai = 1
temps = 163.00	sensor = 227	 temperature = 0.00	 relai = 1
temps = 163.50	sensor = 227	 temperature = 0.00	 relai = 1
temps = 164.00	sensor = 227	 temperature = 0.00	 relai = 1
temps = 164.50	sensor = 228	 temperature = 0.00	 relai = 1
temps = 165.00	sensor = 228	 temperature = 0.00	 relai = 1
temps = 165.50	sensor = 228	 temperature = 0.00	 relai = 1
temps = 166.00	sensor = 228	 temperature = 0.00	 relai = 1
temps = 166.50	sensor = 229	 temperature = 0.00	 relai = 1
temps = 167.00	sensor = 229	 temperature = 0.00	 relai = 1
temps = 167.50	sensor = 229	 temperature = 0.00	 relai = 1
temps = 168.00	sensor = 230	 temperature = 0.00	 relai = 1
